service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21SEPTAFF-72-Semaine-03,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-72-Samedi-03,0,0,0,0,0,1,0,20220305,20220528
21SEPTAFF-72-Dimanche-03,0,0,0,0,0,0,1,20220306,20220529
21SEPPVSAF-72-Semaine-01,1,1,1,1,1,0,0,20220411,20220422
22JANB-UPCBus-Semaine-96,1,1,1,1,1,0,0,20220304,20220602
22JANB-UPCBus-Samedi-01,0,0,0,0,0,1,0,20220305,20220528
22JANB-UPCBus-Dimanche-00,0,0,0,0,0,0,1,20220306,20220529
22JANPVSB-UPC Bus-Semaine-00,1,1,1,1,1,0,0,20220411,20220527
21SEPW-A-D-Semaine-02,1,1,1,1,1,0,0,20220304,20220304
21SEPW-A-D-Samedi-02,0,0,0,0,0,1,0,20220305,20220305
21SEPW-A-D-Dimanche-02,0,0,0,0,0,0,1,20220306,20220306
21SEPW-A-D-Semaine-87,1,1,1,1,1,0,0,20220307,20220602
21SEPW-A-D-Samedi-85,0,0,0,0,0,1,0,20220312,20220528
21SEPW-A-D-Dimanche-85,0,0,0,0,0,0,1,20220313,20220529
22JANB-UPEBus-Semaine-96,1,1,1,1,1,0,0,20220304,20220602
22JANB-UPEBus-Samedi-00,0,0,0,0,0,1,0,20220305,20220528
22JANB-UPEBus-Dimanche-00,0,0,0,0,0,0,1,20220306,20220529
21SEPW-B-F-Semaine-00,1,1,1,1,1,0,0,20220304,20220304
21SEPW-B-F-Samedi-00,0,0,0,0,0,1,0,20220305,20220305
21SEPW-B-F-Dimanche-00,0,0,0,0,0,0,1,20220306,20220306
21SEPW-B-F-Semaine-87,1,1,1,1,1,0,0,20220307,20220602
21SEPW-B-F-Samedi-85,0,0,0,0,0,1,0,20220312,20220528
21SEPW-B-F-Dimanche-85,0,0,0,0,0,0,1,20220313,20220529
21SEPW-B-F-Semaine-20,1,1,1,1,1,0,0,20220411,20220422
21SEPW-B-F-Dimanche-20,0,0,0,0,0,0,1,20220415,20220418
21SEPW-B-F-Samedi-20,0,0,0,0,0,1,0,20220416,20220416
22JANB-UPKBus-Semaine-96,1,1,1,1,1,0,0,20220304,20220602
22JANB-UPKBus-Samedi-00,0,0,0,0,0,1,0,20220305,20220528
22JANB-UPKBus-Dimanche-00,0,0,0,0,0,0,1,20220306,20220529
22JANB-UPKBus-Mardi-96,0,1,0,0,0,0,0,20220308,20220531
21SEPW-C-E-Semaine-01,1,1,1,1,1,0,0,20220304,20220304
21SEPW-C-E-Samedi-00,0,0,0,0,0,1,0,20220305,20220305
21SEPW-C-E-Dimanche-00,0,0,0,0,0,0,1,20220306,20220306
21SEPW-C-E-Semaine-87,1,1,1,1,1,0,0,20220307,20220602
21SEPW-C-E-Samedi-85,0,0,0,0,0,1,0,20220312,20220528
21SEPW-C-E-Dimanche-85,0,0,0,0,0,0,1,20220313,20220529
21SEPTAFF-KEONAV-Semaine-01,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-KEONAV-Samedi-00,0,0,0,0,0,1,0,20220305,20220528
21SEPTAFF-KEOREG-Semaine-98,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-KEOREG-Samedi-99,0,0,0,0,0,1,0,20220305,20220528
21SEPTAFF-KEOREG-Dimanche-00,0,0,0,0,0,0,1,20220306,20220529
21SEPPVSAF-KEOREG-Semaine-98,1,1,1,1,1,0,0,20220411,20220422
21SEPTAFF-60-Semaine-00,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-60-Samedi-00,0,0,0,0,0,1,0,20220305,20220528
21SEPTAFF-71-Semaine-31,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-73-Semaine-31,1,1,1,1,1,0,0,20220304,20220602
21SEPTAFF-74-Semaine-31,1,1,1,1,1,0,0,20220304,20220602
