stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
23NOV_01,704A,48.5331765019,7.7064377815,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_02,704B,48.5331463078,7.706489414,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_03,704C,48.5327120439,7.7041719854,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
23NOV_04,704D,48.5326028113,7.7043302358,23 Novembre,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABATT_01,10A,48.5570929935,7.6506686211,Abattoirs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABATT_02,10B,48.5569230099,7.6537008584,Abattoirs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABBAT_01,11A,48.4915515277,7.7159341425,Abbatiale,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABBAT_02,11B,48.4916568493,7.7160649002,Abbatiale,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABEPE_01,12A,48.5454515686,7.7606981993,Abbé de l'Epée,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABEPE_02,12B,48.5455439045,7.7612051368,Abbé de l'Epée,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABLEM_01,13A,48.5782033575,7.7245822549,Abbé Lemire,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ABLEM_02,13B,48.578139474,7.7247177064,Abbé Lemire,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACACI_01,14A,48.5159083206,7.7110089362,Acacias,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACACI_02,14B,48.5159123182,7.7112583816,Acacias,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACOUE_1,775B,48.581264,7.624338,Achenheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACOUE_2,775A,48.581316,7.624236,Achenheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACSOL_1,776A,48.582499,7.628954,Soleil,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ACSOL_2,776B,48.582512,7.629428,Soleil,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AEROP_02,16A,48.5418201496,7.6515483856,Aeroparc,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AEROP_03,16B,48.5419471205,7.6520566642,Aeroparc,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALAIG_01,17A,48.5571023138,7.6459747553,A l'Aigle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALAIG_02,17B,48.5570605946,7.6458822191,A l'Aigle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALEUR_01,19A,48.604528927,7.7055519819,Allée de l'Euro,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALEUR_02,19B,48.6046131737,7.7057799697,Allée de l'Euro,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUE_01,20A,48.6428387163,7.7538116276,Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUE_02,20B,48.6435077445,7.7536332607,Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_01,681D,48.5512914804,7.6926612854,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_02,681E,48.5513589489,7.6926827431,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ALOUT_03,681A,48.551607,7.692828,Lingolsheim Alouettes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
